Code,Server,Service Tier,CMS,Branch,Primary Domain,Admin Link,Web Dir
PromiseBound,valinor,Tiny,3,dalaran,iampromisebound.com,https://promisebound.solutiosoftware.com/administrator,nra/promisebound
QP-Salem,valinor,,3,dalaran,www.qpsalem.org,https://qp-salem.solutiosoftware.com/administrator,portlandinoregon/qp-salem
Queen-Beat,underhill,Small,3,dalaran,qasbeattyville.org,https://queen-beat.solutiosoftware.com/administrator,lexington/queen-beat
Queen-Plainsboro,wold,,3,dalaran,www.qomchurch.org,https://queen-plainsboro.solutiosoftware.com/administrator,metuchen/queen-plainsboro
Queen-Roosevelt,underhill,,3,dalaran,www.qtmhr.com,https://queen-roosevelt.solutiosoftware.com/administrator,rc/queen-roosevelt
Raleigh-Cathedral,thalos,Tiny,3,dalaran,www.friendsofhnojnc.org,https://raleigh-cathedral.solutiosoftware.com/administrator,raleigh/raleigh-cathedral
RC-Dallas,wold,Small,3,dalaran,www.radiocatolicacristorey.com,https://rc-dallas.solutiosoftware.com/administrator,nra/rc-dallas
Res-Esc,yale,,3,dalaran,resurrectionchurch.org,https://res-esc.solutiosoftware.com/administrator,sandiego/res-esc
Res-Farm,thalos,,3,dalaran,coresrcc.com,https://res-farm.solutiosoftware.com/administrator,rc/res-farm
Rez,thalos,Medium,3,dalaran,resurrectionwichita.com,https://rez.solutiosoftware.com/administrator,wichita/rez
RobC,thalos,Tiny,3,dalaran,robcam.us,https://robc.solutiosoftware.com/administrator,nra/robc
Royce-Blair,wold,Tiny,3,dalaran,roycehvac.com,https://royce-blair.solutiosoftware.com/administrator,nra/royce-blair
SAA-Flu,wold,,3,dalaran,standrewavellinorcchurch.org,https://saa-flu.solutiosoftware.com/administrator,brooklyn/saa-flu
Sage,underhill,Medium,3,dalaran,gearconnexion.com,https://sage.solutiosoftware.com/administrator,nra/sage
Saltlight,valinor,Small,3,dalaran,wichitacya.com,https://saltlight.solutiosoftware.com/administrator,nra/saltlight
SAM-Young,moria2,,3,crystalsong,stangelayoungstown.org,https://sam-young.solutiosoftware.com/administrator,youngstown/sam-young
SanClemente-Lunas,yale,,3,dalaran,sanclementeparish.org,https://sanclemente-lunas.solutiosoftware.com/administrator,santafe/sanclemente-lunas
SanFran-Green,valinor,,3,dalaran,www.ss-fc.org,https://sanfran-green.solutiosoftware.com/administrator,indianapolis/sanfran-green
